name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
,alameda,california,,community effort,community effort,,1st st & ave a alameda ca 94501,,15000,,
,american canyon,california,,prefab,prefab,36355,298 benton way american canyon ca 94503,when school is out - 8am - sunset/ when school is in session - mondays tuesdays thursdays fridays 3:15pm - sunset wednesdays 1:30pm - sunset,13000,,
anaheim west,anaheim,california,,purkiss rose,,2002,2271 w crescent ave anaheim ca 92801,,10000,,
downtown skate zone,anaheim,california,,prefab,prefab,40725,e broadway & s olive st anaheim ca 92805,,2000,,
south volante skatepark,anderson,california,,,,,1887 howard st anderson ca 96007,,13000,,
,antioch,california,,,,,4701 lone tree way antioch ca 94531,,15000,,
3 diamonds skatepark,apple valley,california,,,,,13467 navajo rd apple valley ca 92308,,,,
bonita skatepark,arcadia,california,2,purkiss rose,,2003,207 bonita st arcadia ca 91006,dawn - 10pm,10700,,
,arcata,california,3,,,,sunset ave & jay st arcata ca 95521,,,,
a-town park,atascadero,california,,,indoor park,,5493 traffic way atascadero ca 93422,,,,
osborn skatepark,atwater,california,,prefab,prefab,,501 e bellevue rd atwater ca 95301,,,,
,auburn,california,3,,,,855 pacific ave auburn ca 95603,sunrise-sunset,,,
,azusa,california,,purkiss rose,,2002,320 n orange pl azusa ca 91702,,,,
beach park,bakersfield,california,,,,,21st st & oak st bakersfield ca 93301,5am-10pm,,,
,baldwin park,california,,purkiss rose,california skateparks,2003,15010 badillo street baldwin park ca 91706,,12000,,
,banning,california,,,,,n san gorgonio ave & e george st banning ca 92220,,,,
dana park skatepark,barstow,california,,mig/csp,california skateparks,,840 barstow rd. barstow ca 92311,,12000,,
,bell,california,,prefab,prefab,,4357 gage ave bell ca 90201,,,,
,bell gardens,california,,purkiss rose,california skateparks,,4357 gage avenue bell ca 90201,,,,
caruthers park,bellflower,california,,purkiss rose,california skateparks,35398,10500 e. flora vista street bellflower ca 90706,,,,
x-park,benicia,california,4,wormhoudt,,2007,dempsey dr benicia ca 94510,,20000,,
orkin/hsang memorial skatepark,berkeley,california,,site design,,,5th st & harrison st berkeley ca 94710,8am - 9pm,18000,,
,big bear lake,california,,,prefab,,40946 big bear blvd big bear lake ca 92315,,,,
sugarloaf skatepark,big bear lake,california,,,prefab,,44828 baldwin ln big bear city ca 92314,,,,
,biggs,california,pos,,,,c st & 9th st biggs ca 95917,,,,
,bishop,california,2,,,,n main st & park st. bishop ca 93514,,,,
mesa skate park,bolinas,california,pos,,,,55 mesa rd bolinas ca 94924,,,,
,borrego springs,california,,site design,california skateparks,,630 cahuilla road borrego springs ca.,,,,
blake davis skatepark,brawley,california,3,purkiss rose,,2003,magnolia st & n 3rd st brawley ca 92227,8am - 10pm,18000,,
,brea,california,,purkiss rose,,2000,imperial hwy & berry st brea ca 92821,7am - dusk,10000,,
,brentwood,california,3,,,,198 griffith ln brentwood ca 94513,9am - sunset,18000,,
,buena park,california,,prefab,prefab,2003,7725 el dorado dr buena park ca 90620,8am - sunset,10000,,
,burbank,california,,,,,1625 n valley st burbank ca 91505,"monday - thursday 4pm - 7:00 p.m.
  friday 4:00 p.m. - 9:00 p.m.
  saturday - sunday 10:00 a.m. - 5:00 p.m",11500,,
calexico nosotros saktepark,calexico,california,,,,,kloke rd & calexico st calexico ca 92231,,,,
pleasant valley skatepark,camarillo,california,,wormhoudt,,1998,1030 temple ave camarillo ca 93010,sunrise-sunset,12000+,,
,cameron park,california,,,,35540,2380 merrychase dr cameron park ca 95682,sunrise-sunset,,,
,carlsbad,california,,,,2001,2560 orion way carlsbad ca 92010,8am - 10pm,15000+,,
la sierra skatepark,carmichael,california,,prefab,prefab,2008,5325 engle road carmichael ca 95608,12pm - 6am,,,
,carson,california,,purkiss rose,,2003,22400 moneta ave carson ca 90745,lights til 10pm,10000,,
,castroville,california,,prefab,prefab,,11261 crane st castroville ca 95012,,,,
,ceres,california,,,,,moffett rd & fowler rd ceres ca 95307,,16000,,
,cerritos,california,,purkiss rose,hondo company inc.,2000,19900 bloomfield ave cerritos ca 90703,8am - sunset mondays: 11am - sunset,10000,,
,chico,california,,,,,humboldt ave & flume st chico ca 95928,8am - sunset,10000,,
ayala park,chino,california,,site design,california skateparks,2003,central ave. & edison ave. chino ca 91708,8am - 10pm,27624,,
,chino hills,california,,purkiss rose/california skateparks,,2003,16333 fairfield ranch rd chino hills ca 91709,7am - dusk,6000,,
len moore skatepark,chula vista,california,,purkiss rose,kf stratton,2003,1301 oleander ave chula vista ca 91911,,25000,,
rusch skatepark,citrus heights,california,,california skateparks,california skateparks,,7801 auburn blvd. citrus heights ca. 95610,,9000,,
krause family skatepark,clairemont (san diego),california,,wally holliday/california skateparks/andy mcdonald,california skateparks,2001,3401 clairemont dr san diego ca 92117,,53000+,,
,claremont,california,,purkiss rose,,1998,1717 n indian hill blvd claremont ca 91711,6am - 10pm,6000,,
,clearlake,california,,prefab,prefab,,uhl ave & austin rd clearlake ca 95422,,,,
letterman skatepark,clovis,california,,site design,,,villa ave & w 9th st clovis ca 93612,8am-9pm,27000,,
dateland park,coachella,california,,prefab,prefab,38204,medina st & shady ln coachella ca 92236,,,,
wilson skatepark,compton,california,,california skateparks,california skateparks,,123 north rose ave. compton ca 90220,,10000,,
,concord,california,,,,,cowell rd & san miguel rd concord ca 94518,,,,
harada skatepark,corona,california,,community works,california skateparks,,13100 65th st. cleveland ave. corona ca,,10000,,
orchard skatepark,corona,california,,community works,california skateparks,,5900 festival way corona ca 92880,,13000,,
santa regional skatepark,corona,california,,purkiss rose,california skateparks,,598 santana way corona ca 92881,,11000,,
corona city park,corona,california,,purkiss rose,,1999,930 e 6th st corona ca 92879,7am - 10pm,10000,,
huber skatepark,corona,california,,community works design group (bill wildenberg and scott rice),,2005,rolling meadow st & northfork dr corona ca 92880,sunrise - 10pm,20000,,
,coronado,california,,site design,california skateparks,2001,2000 mullinex drive coronado ca 92118,,20000,,
volcom skatepark,costa mesa,california,,purkiss rose,,2005,970 arlington dr costa mesa ca 92626,9am -9pm closed tuesdays 9am-3pm,20000,,
volcom skatepark,costa mesa,california,,california skateparks,california skateparks,,970 arlington dr. costa mesa ca,,22000,,
,crescent city,california,1,prefab,prefab,,5th st & e st crescent city ca 95531,,,,
,cudahy,california,1,prefab,prefab,,5240 santa ana st cudahy ca 90201,,,,
,culver city,california,,site design,california skateparks,37920,9910 jefferson blvd. culver city ca 90232,monday through friday â€“ 12:00 p.m. to sunset saturday and sunday â€“ 9:30 a.m. to 4:30 p.m.,15000,,
,cypress,california,,purkiss rose,,2003,4554 avenida granada cypress ca 90630,8am - sunset,12000,,
,davis,california,1,,,1993,1405 f st davis ca 95616,,,,
,delano,california,,site design,,,cecil ave & madison st delano ca 93215,sunrise-sunset,23342,,
,delhi,california,,skatewave (prefab),skatewave (prefab),2006,shanks rd & schendel ave delhi ca 95315,,,,
,desert hot springs,california,,lawrence r. moss & associates,,2003,west dr & 1st st desert hot springs ca 92240,sunrise-sunset,10000,,
,diamond bar,california,,purkiss rose,,,24142 sylvan glen rd diamond bar ca 91765,7am - dusk,10000,,
,dixon,california,,,,,hall park dr & e chestnut st. dixon ca 95620,,,,
independence park,downey,california,,purkiss rose,,2002,12334 bellflower blvd downey ca 90242,,10000,,
,duarte,california,,lawrence r. moss & associates,california skateparks,,1401 central ave. duarte ca 91010,sunrise-sunset,10000,,
pamela park,duarte,california,1,skatewave (prefab),,,2236 goodall ave duarte ca 91010,,,,
emerald glen skatepark,dublin,california,2,,,,4201 central pkwy dublin ca 94568,sunrise-sunset,,,
kennedy skatepark,el cajon,california,,purkiss rose,,2002,1675 e madison ave el cajon ca 92019,mon-fri: 4:00-9:00 sat: 12:00-9:00 sun: 12:00-7:00,11000,,
renette skate plaza,el cajon,california,,,,,935 emerald ave el cajon ca 92020,,,,
,el dorado hills,california,1,prefab,prefab,,1021 harvard way el dorado hills ca 95762,,,,
,el segundo,california,2,,,36754,405 e grand ave el segundo ca 90245,monday - friday: 11:00 am - 9 pm saturday: 2:30 pm - 10:30 pm sunday: noon - 5 pm,,,
,elk grove,california,,,,,9014 bruceville rd elk grove ca 95758,8am - sunset,,,
